"id","color","Indiv","leafage","Photo","Cond","Ci","Trmmol","iwue","mass_mg","percN","n15","perC","c13","plant_id","year","lma","cfr","chl","frond_age","sla","amass","nmass"
"1-O","O",1,2016,3.2039522728,0.2235970404,369.23992352,1.396984089,2.29347799880346,3.453,2.53,0.61,44.39,-33.71,1,2016,60.8108108108108,1.47,541,"2",0.0164444444444444,52.6872151527111,25.3
"1-W","W",1,2017,2.3321812858,0.188887912,372.49339538,1.0772977824,2.16484367080416,3.339,3.27,2.19,44.98,-33.88,1,2017,70.6521739130435,1.43,515,"1",0.0141538461538462,33.0093351220923,32.7
"1-Y","Y",1,2015,2.5478829356,0.2649034136,375.27839078,1.6698179764,1.52584471577737,3.675,2.96,0.5,44.03,-33.8,1,2015,74.7727272727273,1.24,395,"3",0.0133738601823708,34.0750301417629,29.6
"2-O","O",2,2016,2.4805373488,0.2320193816,374.2647996,1.146879769,2.16285735946224,3.423,3.19,0.25,42.79,-35.29,2,2016,35.6363636363636,1.54,584,"2",0.0280612244897959,69.6069154,31.9
"2-W","W",2,2017,3.0586600998,0.4086005154,378.48552706,1.3894001556,2.20142490086245,3.706,3.22,0.51,43.67,-35.11,2,2017,29.3220338983051,1.61,630,"1",0.0341040462427746,104.312685484509,32.2
"2-Y","Y",2,2015,3.3220424838,0.288771339,371.80503042,1.245962642,2.66624565762863,3.331,2.4,-0.31,41.66,-34.8,2,2015,39.4545454545455,1.45,535,"3",0.0253456221198157,84.1992334603687,24
"21-O","O",21,2016,4.2507604836,0.1017595956,323.7741258,0.6469659342,6.5703003186037,3.288,2.62,1.6,44.6,-34.28,21,2016,41.6216216216216,1.35,444,"2",0.024025974025974,102.12866096961,26.2
"21-W","W",21,2017,3.8088706664,0.3608923194,373.33672538,1.4049152616,2.71110348823618,3.411,3.13,0.77,44.94,-33.67,21,2017,74.6511627906977,1.44,519,"1",0.0133956386292835,51.0222550327726,31.3
"21-Y","Y",21,2015,3.504627719,0.8778553852,386.10397056,2.1948502642,1.59675025497805,3.458,2.69,0.48,44.32,-34.81,21,2015,72.7659574468085,1.17,531,"3",0.0137426900584795,48.1630125125731,26.9
"22-O","O",22,2016,3.515677364,0.1697004264,357.32538692,0.8065949976,4.35866497369906,3.441,2.72,0.9,43.1,-33.93,22,2016,40.2040816326531,1.36,478,"2",0.0248730964467005,87.4457821502538,27.2
"22-W","W",22,2017,2.6626348878,0.1093822448,352.87165572,0.5641453564,4.71976744573626,3.671,2.68,1.67,51.08,-33.21,22,2017,34.5283018867925,1.36,474,"1",0.0289617486338798,77.1145623242623,26.8
"22-Y","Y",22,2015,3.1386546698,0.324899521,378.17774676,1.1884741756,2.64091112305024,3.621,2.77,0.98,44.82,-34.05,22,2015,45,1.34,478,"3",0.0222222222222222,69.7478815511111,27.7
"24-O","O",24,2016,4.4463081568,0.2266782486,358.08927808,1.1034544658,4.0294441634041,3.762,2.67,3.48,44.35,-34.51,24,2016,38.2692307692308,1.6,623,"2",0.0261306532663317,116.184936760603,26.7
"24-W","W",24,2017,4.1639884522,0.0982035498,323.67517764,0.5057227408,8.23373780979872,3.498,2.87,0.95,44.17,-34.52,24,2017,29.0384615384615,1.42,509,"1",0.0344370860927152,143.395628817483,28.7
"24-Y","Y",24,2015,2.150806806,0.2880136782,371.68886132,5.2993779062,0.405860243234148,3.354,2.66,0.42,41.31,-35.06,24,2015,37.4418604651163,1.43,515,"3",0.0267080745341615,57.4439084832298,26.6
"25-O","O",25,2016,3.068969138,0.0258270244,449.81563288,0.9277967914,3.30780313797925,3.572,3.59,-0.23,45.91,-34.09,25,2016,38.2142857142857,1.43,513,"2",0.0261682242990654,80.3094727700934,35.9
"25-W","W",25,2017,2.3695256404,0.1143332248,349.9494916,2.4328111064,0.973986691431359,3.645,3.3,0.86,45.46,-34,25,2017,39.0196078431373,1.36,471,"1",0.0256281407035176,60.7265365127638,33
"25-Y","Y",25,2015,2.04426573,0.2045843894,367.37143016,3.9801806118,0.513611297924367,3.394,3.39,0.38,43.32,-34.57,25,2015,41.7307692307692,1.16,341,"3",0.023963133640553,48.9870128847926,33.9
"26-O","O",26,2016,2.8756471004,0.049478559,299.23723984,0.2443384504,11.7691140943734,3.613,3.02,-0.62,45.39,-34.11,26,2016,40.3636363636364,1.39,490,"2",0.0247747747747748,71.2435092441441,30.2
"26-W","W",26,2017,5.060388116875,0.22810050425,355.806271675,1.130678752375,4.47553127379958,3.629,3.28,0.14,42.71,-34.54,26,2017,43.2258064516129,1.62,636,"1",0.023134328358209,117.068680315765,32.8
"26-Y","Y",26,2015,3.76895949942857,-0.0427512307142857,-7936.84085179314,-0.302227718714286,-12.470595071366,3.377,2.64,-0.76,44.95,-34,26,2015,43.0952380952381,1.49,553,"3",0.0232044198895028,87.4565187712707,26.4
"3-O","O",3,2016,2.5135157064,0.0907497552,348.59499296,0.5099526466,4.92891981865047,3.61,2.51,-0.58,40.76,-34.66,3,2016,87.6595744680851,1.54,582,"2",0.0114077669902913,28.6736015050485,25.1
"3-W","W",3,2017,2.7587362384,0.1521805532,363.5277198,0.7694744482,3.58522137395647,3.684,4.06,0.93,45.24,-33.41,3,2017,69.1489361702128,1.34,458,"1",0.0144615384615385,39.8955702168615,40.6
"4-O","O",4,2016,4.095162954,0.6619825932,380.53670644,2.503751655,1.63561068280153,3.253,2.91,1.15,43.22,-34.82,4,2016,30.625,1.41,503,"2",0.0326530612244898,133.719606661225,29.1
"4-W","W",4,2017,3.241848117,0.1232331452,349.65746978,0.8462764782,3.8307198658,3.31,3.52,1.31,43.76,-34.66,4,2017,36.4583333333333,1.5,562,"1",0.0274285714285714,88.9192626377143,35.2
"5-O","O",5,2016,4.3852981104,0.621809395,378.75771504,2.0344976252,2.15546976122369,3.833,2.73,0.53,42.36,-34.67,5,2016,43.469387755102,1.55,594,"2",0.0230046948356808,100.882444793239,27.3
"5-W","W",5,2017,3.109980531,0.204189247,365.78472094,1.0126437134,3.07114979320623,3.722,3.12,1.21,44.78,-33.83,5,2017,26.9090909090909,1.54,583,"1",0.0371621621621622,115.573600814189,31.2
"5-Y","Y",5,2015,4.0443049172,0.3808485892,374.23465618,1.5281276446,2.64657532470635,3.377,2.86,-0.5,42.03,-34.78,5,2015,41.0416666666667,1.38,481,"3",0.0243654822335025,98.5414396069036,28.6
