Indiv,leafage,Color,Photo,Cond,Ci,Trmmol,iwue
1,2015,y,2.547882936,0.264903414,375.2783908,1.669817976,1.525844716
1,2016,o,3.203952273,0.22359704,369.2399235,1.396984089,2.293477999
1,2017,w,2.332181286,0.188887912,372.4933954,1.077297782,2.164843671
2,2015,y,3.322042484,0.288771339,371.8050304,1.245962642,2.666245658
2,2016,o,2.480537349,0.232019382,374.2647996,1.146879769,2.162857359
2,2017,w,3.0586601,0.408600515,378.4855271,1.389400156,2.201424901
3,2015,o,2.513515706,0.090749755,348.594993,0.509952647,4.928919819
3,2017,w,2.758736238,0.152180553,363.5277198,0.769474448,3.585221374
4,2016,o,4.095162954,0.661982593,380.5367064,2.503751655,1.635610683
4,2017,w,3.241848117,0.123233145,349.6574698,0.846276478,3.830719866
5,2015,y,4.044304917,0.380848589,374.2346562,1.528127645,2.646575325
5,2016,o,4.38529811,0.621809395,378.757715,2.034497625,2.155469761
5,2017,w,3.109980531,0.204189247,365.7847209,1.012643713,3.071149793
21,2015,y,3.504627719,0.877855385,386.1039706,2.194850264,1.596750255
21,2016,o,4.250760484,0.101759596,323.7741258,0.646965934,6.570300319
21,2017,w,3.808870666,0.360892319,373.3367254,1.404915262,2.711103488
22,2015,y,3.13865467,0.324899521,378.1777468,1.188474176,2.640911123
22,2016,o,3.515677364,0.169700426,357.3253869,0.806594998,4.358664974
22,2017,w,2.662634888,0.109382245,352.8716557,0.564145356,4.719767446
24,2015,y,2.150806806,0.288013678,371.6888613,5.299377906,0.405860243
24,2016,o,4.446308157,0.226678249,358.0892781,1.103454466,4.029444163
24,2017,w,4.163988452,0.09820355,323.6751776,0.505722741,8.23373781
25,2015,y,2.04426573,0.204584389,367.3714302,3.980180612,0.513611298
25,2016,o,3.068969138,0.025827024,449.8156329,0.927796791,3.307803138
25,2017,w,2.36952564,0.114333225,349.9494916,2.432811106,0.973986691
