"Indiv","leafage","Color","Photo","Cond","Ci","Trmmol","iwue"
1,"2015","y",2.5478829356,0.2649034136,375.27839078,1.6698179764,1.52584471577737
1,"2016","o",3.2039522728,0.2235970404,369.23992352,1.396984089,2.29347799880346
1,"2017","w",2.3321812858,0.188887912,372.49339538,1.0772977824,2.16484367080416
2,"2015","y",3.3220424838,0.288771339,371.80503042,1.245962642,2.66624565762863
2,"2016","o",2.4805373488,0.2320193816,374.2647996,1.146879769,2.16285735946224
2,"2017","w",3.0586600998,0.4086005154,378.48552706,1.3894001556,2.20142490086245
3,"2016","o",2.5135157064,0.0907497552,348.59499296,0.5099526466,4.92891981865047
3,"2017","w",2.7587362384,0.1521805532,363.5277198,0.7694744482,3.58522137395647
4,"2016","o",4.095162954,0.6619825932,380.53670644,2.503751655,1.63561068280153
4,"2017","w",3.241848117,0.1232331452,349.65746978,0.8462764782,3.8307198658
5,"2015","y",4.0443049172,0.3808485892,374.23465618,1.5281276446,2.64657532470635
5,"2016","o",4.3852981104,0.621809395,378.75771504,2.0344976252,2.15546976122369
5,"2017","w",3.109980531,0.204189247,365.78472094,1.0126437134,3.07114979320623
21,"2015","y",3.504627719,0.8778553852,386.10397056,2.1948502642,1.59675025497805
21,"2016","o",4.2507604836,0.1017595956,323.7741258,0.6469659342,6.5703003186037
21,"2017","w",3.8088706664,0.3608923194,373.33672538,1.4049152616,2.71110348823618
22,"2015","y",3.1386546698,0.324899521,378.17774676,1.1884741756,2.64091112305024
22,"2016","o",3.515677364,0.1697004264,357.32538692,0.8065949976,4.35866497369906
22,"2017","w",2.6626348878,0.1093822448,352.87165572,0.5641453564,4.71976744573626
24,"2015","y",2.150806806,0.2880136782,371.68886132,5.2993779062,0.405860243234148
24,"2016","o",4.4463081568,0.2266782486,358.08927808,1.1034544658,4.0294441634041
24,"2017","w",4.1639884522,0.0982035498,323.67517764,0.5057227408,8.23373780979872
25,"2015","y",2.04426573,0.2045843894,367.37143016,3.9801806118,0.513611297924367
25,"2016","o",3.068969138,0.0258270244,449.81563288,0.9277967914,3.30780313797925
25,"2017","w",2.3695256404,0.1143332248,349.9494916,2.4328111064,0.973986691431359
